"CWPName","SourceID","CWPStreet","CWPCity","CWPState","CWPStateDistrict","CWPZip","MasterExternalPermitNmbr","CWPCounty","CWPEPARegion","FacFederalAgencyCode","CWPFacilityTypeIndicator","ReceivingMs4Name","SpeciesCriticalHabitalFlag","ExposedActivity","AssociatedPollutant","ControlMeasure","ControlMeasureSchedule","EjscreenFlagUs","Over80CountUs","PctilePctpre1960Us","PctileProximityRmpUs","PctileProximityTsdfUs","dec_long","dec_lat"
"ANDERSON GENEVA DEVELOPMENT","UT0000361","373 EAST 1750 NORTH STE E","VINEYARD","UT",NA,"84057-2207",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,27.8,0.4,5.6,-111.765952,40.318694
"ENSIGN BICKFORD - HOBBLE CREEK","UT0025283","3302 N MAIN STREET","SPANISH FORK","UT",NA,"84660",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,37.2,14.1,35.8,-111.591584,40.084976
"FLOWSERVE,INC. VALTEK","UT0024422","1350 NORTH MOUNTAIN SPRING PKW","SPRINGVILLE","UT",NA,"84663",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,62.6,22.9,18.7,-111.63096,40.18577
"LAKE SIDE POWER PLANT","UT0025623","1900 PIONEER LANE","VINEYARD","UT",NA,"84057",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,27.8,0.4,5.6,-111.755507,40.329388
"MCWANE DUCTILE-UTAH","UT0000612","2550 SOUTH INDUSTRIAL PARKWAY","PROVO","UT",NA,"84603",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,62.6,63.4,64.9,-111.631752,40.199753
"MONA WASTEWATER TREATMENT PLANT","UT0025950","560 N 300 WEST","MONA","UT",NA,"84645",NA,"Juab","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,48.8,32,36.3,-111.791682,39.984445
"NRP JONES, LLC","UT0025097","255 WEST 1100 NORTH","NEPHI","UT",NA,"84648",NA,"Juab","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,43.6,51.8,50.2,-111.83929,39.72523
"OREM CITY CORPORATION","UT0020915","1797 WEST 1000 SOUTH","OREM","UT",NA,"84058",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,27.8,0.4,5.6,-111.744234,40.276981
"PAYSON CITY CORPORATION","UT0020427","1062 NORTH MAIN","PAYSON","UT",NA,"84651",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,24.5,36.5,34.9,-111.731059,40.061337
"PAYSON POWER PROJECT","UT0025518","1100 NORTH 1100 EAST","PAYSON","UT",NA,"84651",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,37.3,34.5,33.9,-111.72993,40.058287
"PROVO CITY CORPORATION","UT0021717","1685 S EAST BAY BLVD","PROVO","UT",NA,"84603",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"Y",5,79.1,86.9,77.2,-111.65257,40.21594
"SALEM CITY CORP","UT0020249","P.O. BOX 901","SALEM","UT",NA,"84653",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,13.2,14.2,21,-111.686308,40.070837
"SANTAQUIN WATER RECLAMATION FACILITY","UT0026000","1215 NORTH CENTER STREET","SANTAQUIN","UT",NA,"84655",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,39.1,30.7,29.9,-111.789444,39.996111
"SARATOGA SPRINGS","UT0025321","625 SOUTH SARATOGA DRIVE","SARATOGA SPRINGS","UT",NA,"84043",NA,"Utah","08",NA,"NON-POTW",NA,NA,NA,NA,NA,NA,"N",0,62.6,35.8,34.3,-111.904123,40.348832
"SPANISH FORK CITY CORPORATION","UT0020109","2160 N 150 EAST","SPANISH FORK","UT",NA,"84660",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,24.5,32,4.8,-111.650586,40.137225
"SPRINGVILLE CITY WWT PLANT","UT0020834","700 NORTH 500 WEST","SPRINGVILLE","UT",NA,"84663",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"Y",1,70.2,79.9,64.8,-111.66745,40.24307
"TIMPANOGOS SPECIAL SERV. DIST.","UT0023639","5050 W. 6400 NORTH","AMERICAN FORK","UT",NA,"84003",NA,"Utah","08",NA,"POTW",NA,NA,NA,NA,NA,NA,"N",0,35.7,29,20,-111.778342,40.343416
