"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n.2015","n.2016","n.2017","n.2018","n.2019","n.2020"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,0,0,8,12,11,8
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,0,0,8,12,12,7
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,0,0,8,12,12,9
"Lehi Spring Creek","WFWQC_UT-4994948","WFWQC_UT",2015-10-14,2020-12-08,5,12,12,12,12,12
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-09-21,0,0,7,11,12,7
"American Fork River","WFWQC_UT-4994958","WFWQC_UT",2015-10-14,2020-06-16,4,8,12,3,10,6
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,0,0,8,12,12,9
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2020-09-21,0,0,8,12,12,7
"Timp SSD","WFWQC_UT-4995043","WFWQC_UT",2015-10-14,2020-12-08,5,12,12,13,12,12
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,0,0,8,10,12,9
"Lindon Drain","WFWQC_UT-4995075","WFWQC_UT",2015-10-14,2020-12-08,5,12,12,13,12,12
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,0,0,4,8,2,0
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2020-09-30,0,0,3,6,2,2
"Powell Slough Major","WFWQC_UT-4995210","WFWQC_UT",2015-10-19,2020-12-08,4,2,11,14,12,12
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,0,0,8,12,12,9
"Provo River","WFWQC_UT-4996680","WFWQC_UT",2015-10-14,2020-12-08,6,13,12,13,13,12
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,0,0,8,12,12,9
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,0,0,8,12,12,9
"Mill Race","WFWQC_UT-4996536","WFWQC_UT",2015-10-14,2019-06-18,4,8,0,5,3,0
"Mill Race","WFWQC_UT-4996540","WFWQC_UT",2015-11-16,2020-12-09,2,13,12,13,12,12
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,0,0,4,12,12,9
"Spring Creek - Springville","WFWQC_UT-4996275","WFWQC_UT",2017-02-16,2020-12-09,0,0,3,10,12,12
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,0,0,8,12,12,9
"Hobble Creek","WFWQC_UT-4996096","WFWQC_UT",2018-04-24,2019-06-18,0,0,0,9,2,0
"Hobble Creek","WFWQC_UT-4996100","WFWQC_UT",2015-10-20,2020-12-09,4,15,12,13,12,12
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,0,0,5,7,11,6
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,0,0,4,0,0,0
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2017-10-17,2020-09-21,0,0,3,10,12,9
"Dry Creek - Spanish Fork","WFWQC_UT-4996040","WFWQC_UT",2018-05-17,2018-08-06,0,0,0,3,0,0
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,0,0,8,12,12,8
"Spanish Fork River","WFWQC_UT-4995575","WFWQC_UT",2015-10-14,2020-12-08,5,12,12,11,12,13
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,0,0,0,9,9,0
"4000 South Drain Spanish Fork","WFWQC_UT-4917712","WFWQC_UT",2015-10-14,2020-12-09,5,12,12,13,12,13
"Benjamin Slough","UTAHDWQ_WQX-4995465","UTAHDWQ_WQX",2017-05-12,2020-09-21,0,0,8,12,12,9
"Benjamin Slough","WFWQC_UT-4995467","WFWQC_UT",2015-10-20,2020-04-14,4,15,12,13,12,4
"Currant Creek","UTAHDWQ_WQX-4995310","UTAHDWQ_WQX",2017-05-16,2020-09-21,0,0,8,5,12,8
"Currant Creek","UTAHDWQ_WQX-4995312","UTAHDWQ_WQX",2017-10-17,2018-05-16,0,0,3,2,0,0
