"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,24,1390,1994,3227.5,4485,4614.58333333333,5932.5,7392,8410
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,13,1200,2048,2370,3560,3591.53846153846,4400,4598,7470
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,1680,1960,2070,2860,3273.17073170732,3790,4780,7380
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-06-16,16,927,1260,1367.5,1850,2244.1875,2377.5,3530,6470
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,4380,5090,5780,6520,7200,8160,9370,16000
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2019-06-19,24,4440,4823,5200,5885,6193.75,6897.5,8353,9040
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,28,1700,2482,2895,3440,3956.42857142857,4337.5,5998,9120
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,14,3690,4694,5025,6465,6453.57142857143,7090,8146,11800
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2019-04-19,11,3070,3460,4460,5390,5521.81818181818,6895,7550,7620
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,2130,2550,2860,3710,4183.65853658537,5130,5690,14200
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,2970,3567,3960,4500,5144.25,6075,7420,10200
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,3100,3187,3905,4310,5002.75,5582.5,7088,10200
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,37,1560,3080,3550,4270,4910.81081081081,6160,7494,12300
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,913,1460,1950,3580,3456.17073170732,4380,5800,7670
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,29,3210,3964,4600,5460,5547.58620689655,5920,7182,10300
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,4,3570,3981,4597.5,5315,5352.5,6070,6754,7210
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2018-10-09,2020-09-21,24,1860,2341,2722.5,3205,3792.91666666667,4967.5,5814,6920
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,39,1960,2170,2495,4080,4350.76923076923,5195,7496,8820
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,18,5730,6807,7312.5,8560,9133.88888888889,9420,12180,17800
"Benjamin Slough","UTAHDWQ_WQX-4995465","UTAHDWQ_WQX",2017-05-12,2020-08-11,38,3360,4818,5920,7610,8127.36842105263,9597.5,12830,18000
"Currant Creek","UTAHDWQ_WQX-4995310","UTAHDWQ_WQX",2017-05-16,2020-08-11,14,2380,3208,3432.5,6705,6395.71428571429,8040,9863,12100
"Currant Creek","UTAHDWQ_WQX-4995312","UTAHDWQ_WQX",2018-03-07,2018-03-07,1,4090,4090,4090,4090,4090,4090,4090,4090
