"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,35,0,0,0,6.13,9.95342857142857,19.185,25.296,28.63
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,38,0,0,0,0,1.99539473684211,0.45,4.49350000000001,29.09
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-06-12,2020-09-21,39,0.1,0.24,1.04,1.8,2.58548717948718,3.365,5.312,11.86
"Lehi Spring Creek","WFWQC_UT-4994948","WFWQC_UT",2015-10-19,2020-12-08,49,0.1765735,0.69923106,1.1653851,3.884617,4.52388514081633,5.650352,7.19007292,23.660849
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-09-21,33,0,0,0,0,7.47545454545455,1.2,2.796,198
"American Fork River","WFWQC_UT-4994958","WFWQC_UT",2015-10-28,2020-06-16,41,0,0,0.1765735,1.412588,21.8787486512195,9.2171367,77.4804518,260.269339
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,38,0.0229485751,26.302882331735,28.5463634717948,29.8615075883816,29.9942480638337,35.4895507931866,37.3810374785129,41.3109975445486
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-12-20,2020-09-21,17,0,0,0,0,1.19362589730944,0,0.00917943004000001,20.2686916791605
"Timp SSD","WFWQC_UT-4995043","WFWQC_UT",2015-10-19,2020-12-08,57,20.482526,24.013996,26.9451161,31.430083,30.7263291801754,32.80029336,35.799217684,54.5965262
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,39,3.5,5.504,7.215,9.9,10.6574358974359,12.56,15.734,24.8
"Lindon Drain","WFWQC_UT-4995075","WFWQC_UT",2015-10-19,2020-12-08,62,2.472029,9.85633277,12.94283755,15.3265798,17.2330040080645,21.70088315,27.69378774,42.4482694
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-01,13,9.4,13.1388221569292,14.6,19.4,22.7172392911266,23.88,41.412,48.51
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-10-10,2019-04-19,10,0.75,0.957,1.785,2.2495,2.3373,3.1325,3.6506,3.8
"Powell Slough Major","WFWQC_UT-4995210","WFWQC_UT",2015-10-19,2020-12-08,51,9.888116,15.2206357,19.5290291,25.779731,26.8274004333333,31.27116685,36.6566586,113.00704
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,14.8,43.5,69.4,104,174.729268292683,180,297,997
