"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,24,258,385.6,429.5,521,786,684,2025,2590
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,13,484,526.2,695,886,1076.61538461538,1240,1756,2590
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,1110,1370,1570,2280,2413.41463414634,3010,3520,5630
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-06-16,16,233,303,390.5,685,964.6875,1442.5,1990,2170
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,4690,6860,7430,8460,8832.43902439024,9390,11700,16500
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2019-06-19,24,4160,6513,7002.5,7970,7920.83333333333,8370,9603,12700
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,38,1440,2569,2935,3240,3159.47368421053,3485,3616,4600
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,14,9190,11210,12575,15200,14849.2857142857,16675,18560,20900
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2019-04-19,11,193,278,381.5,445,462.636363636364,600,617,659
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,272,374,483,592,615.146341463415,701,905,1250
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,6950,9637,10900,13700,13101.25,14825,15620,18900
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,4210,6477,7990,10750,10801.75,13450,15230,17000
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,37,1200,5188,5610,6820,7142.16216216216,8280,9554,14500
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,367,575,619,811,1152.41463414634,1050,1350,13000
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,29,2320,2606,3310,4730,4988.27586206897,6740,7134,8020
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,4,2810,2852,2915,3085,3840,4010,5432,6380
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2017-10-17,2020-09-21,34,1630,1962,2360,2760,2772.64705882353,3265,3432,4390
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,39,74.5,444,540,668,705.551282051282,843,1040,1590
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,18,1720,2980,3222.5,4000,3996.11111111111,4517.5,5364,6390
"Benjamin Slough","UTAHDWQ_WQX-4995465","UTAHDWQ_WQX",2017-05-12,2020-08-11,38,675,997,1465,3045,3014.5,4302.5,5114,6040
"Currant Creek","UTAHDWQ_WQX-4995310","UTAHDWQ_WQX",2017-05-16,2020-08-11,20,185,263.5,403.75,502.5,528.95,648.25,876.2,901
"Currant Creek","UTAHDWQ_WQX-4995312","UTAHDWQ_WQX",2017-10-17,2018-05-16,5,202,230,272,311,335.8,404,455.6,490
