"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,24,4.7,7.14,10.875,21.5,20.875,25,37.5,54
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,13,4.5,5.12,7.9,12.3,13.2769230769231,14.7,17.76,42
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,4,5.4,6.9,11.8,16.0658536585366,22,26,71
"Lehi Spring Creek","WFWQC_UT-4994948","WFWQC_UT",2016-05-16,2019-06-11,11,13,18,19,36,38.3636363636364,48.5,63,95
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-06-16,16,3.3,3.5,4.425,5.1,6.8625,7.45,12.9,16.1
"American Fork River","WFWQC_UT-4994958","WFWQC_UT",2016-03-15,2019-04-02,4,11,13.7,17.75,20.5,19,21.75,23.1,24
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,18.9,215,441,872,1066.8756097561,1570,2050,3280
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2019-06-19,24,90,104.5,158.5,454,805.75,1257.5,1967,2770
"Timp SSD","WFWQC_UT-4995043","WFWQC_UT",2015-10-27,2020-12-08,43,141,257.8,466,1070,1077.37209302326,1535,1890,2880
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,38,9,16.44,19.425,25,86.1894736842105,32,142.000000000001,1340
"Lindon Drain","WFWQC_UT-4995075","WFWQC_UT",2015-10-27,2020-12-08,37,23,48.4,92,159,181.135135135135,249,364.6,402
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,14,534,1011.4,1270,1575,1635.42857142857,1755,2230,3680
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2019-04-19,11,24,37,45.5,65,67.3636363636364,91,94,97
"Powell Slough Major","WFWQC_UT-4995210","WFWQC_UT",2015-10-27,2020-12-08,37,58,180.8,753,1250,1262.56756756757,1750,2268,2830
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,1.4,5.8,7.8,11.8,15.3609756097561,22,27,35
"Provo River","WFWQC_UT-4996680","WFWQC_UT",2016-05-16,2020-07-14,13,14,19.6,27,43,51.6923076923077,58,92.4,142
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,528,826.8,916.75,1185,1157.175,1370,1467,2010
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,1.385,610.8,775,1015,995.034625,1195,1374,1660
"Mill Race","WFWQC_UT-4996536","WFWQC_UT",2015-11-17,2019-06-18,12,222,507.9,861,1150,985.666666666667,1170,1188,1430
"Mill Race","WFWQC_UT-4996540","WFWQC_UT",2015-11-16,2020-12-09,44,336,785.5,1027.5,1275,1230.34090909091,1450,1587,1980
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,37,9.2,664.6,852,969,1042.46486486486,1310,1592,1900
"Spring Creek - Springville","WFWQC_UT-4996275","WFWQC_UT",2017-02-16,2020-12-09,29,106,378.2,854,1120,1150.96551724138,1270,1818,3040
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,1.4,4.8,5.9,14.2,55.9804878048781,22,30,1580
"Hobble Creek","WFWQC_UT-4996096","WFWQC_UT",2018-05-16,2019-06-18,8,30,41.9,53.75,70,72.625,95.5,104.2,114
"Hobble Creek","WFWQC_UT-4996100","WFWQC_UT",2016-02-17,2020-08-19,24,11,16,27.75,44.5,85.9583333333333,60,142.9,818
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,28,39,144.9,369.5,561.5,535.285714285714,660.5,834.2,1480
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,4,31,33.4,37,48,102.5,113.5,215.2,283
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2017-10-17,2020-09-21,34,17.8,22,25.5,33.5,36.6147058823529,42.25,52.5,100
"Dry Creek - Spanish Fork","WFWQC_UT-4996040","WFWQC_UT",2018-05-17,2018-06-20,2,344,382.8,441,538,538,635,693.2,732
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,39,4.9,6.02,11.75,24,27.2410256410256,40.5,51.6,85
"Spanish Fork River","WFWQC_UT-4995575","WFWQC_UT",2015-11-17,2020-11-10,27,12,17.2,31,51,51.5185185185185,63.5,87.4,111
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,18,21,56.5,61,109,185.944444444444,246.5,350.1,785
