"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,24,74.5,208,269.75,370,639.229166666667,496.5,1935,2580
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,13,329,542.4,675,792,1027.38461538462,1180,1646,2590
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,825,1270,1530,2150,2370.85365853659,3140,3600,5210
"Lehi Spring Creek","WFWQC_UT-4994948","WFWQC_UT",2016-08-30,2018-07-17,13,534,1214,2070,3080,2841.84615384615,3710,3814,5000
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-06-16,16,202,256.5,429.75,634.5,914,1390,1865,2080
"American Fork River","WFWQC_UT-4994958","WFWQC_UT",2016-12-21,2017-12-12,5,513,521.8,535,777,829,1080,1176,1240
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,5230,6700,7670,8450,8665.36585365854,9260,11100,14800
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2019-06-19,23,4500,6630,7020,7830,7822.17391304348,8455,9082,11300
"Timp SSD","WFWQC_UT-4995043","WFWQC_UT",2016-08-30,2018-08-14,14,5540,7454,8115,9365,9403.57142857143,10850,11570,12800
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,38,1370,2377,2722.5,3075,3046.84210526316,3482.5,3733,4530
"Lindon Drain","WFWQC_UT-4995075","WFWQC_UT",2016-08-31,2018-08-14,12,2610,2869,3062.5,3520,3570,4112.5,4450,4540
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,14,9750,10725,13825,15050,15250,16625,19780,20000
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2019-04-19,11,160,173,209,352,381,476,711,731
"Powell Slough Major","WFWQC_UT-4995210","WFWQC_UT",2017-01-23,2018-07-17,8,4700,5267,8337.5,9570,10603.75,11825,15980,21300
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,153,387,413,478,499.80487804878,584,675,865
"Provo River","WFWQC_UT-4996680","WFWQC_UT",2016-08-31,2018-08-14,12,605,646.5,764.25,956,1037.66666666667,1147.5,1371,2180
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,6930,9561,10055,13750,13070,15100,16710,18900
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,4190,6180,7630,10000,10720,14200,15700,17300
"Mill Race","WFWQC_UT-4996536","WFWQC_UT",2016-08-04,2018-06-20,5,10900,10900,10900,12300,12000,12800,12980,13100
"Mill Race","WFWQC_UT-4996540","WFWQC_UT",2016-08-31,2018-08-15,14,1550,7787,12075,14050,12961.4285714286,14475,15690,22800
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,37,1260,5254,5630,6760,7039.72972972973,8130,9468,13400
"Spring Creek - Springville","WFWQC_UT-4996275","WFWQC_UT",2017-02-16,2018-08-15,5,4390,5466,7080,7840,7180,8100,8334,8490
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,396,501,577,634,1039.0243902439,927,1260,12300
"Hobble Creek","WFWQC_UT-4996096","WFWQC_UT",2018-05-16,2018-08-15,5,440,502.8,597,841,810,942,1114.8,1230
"Hobble Creek","WFWQC_UT-4996100","WFWQC_UT",2016-08-18,2017-12-13,11,1020,1140,1390,1930,3020,2640,7890,9490
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,29,2090,2458,3320,4130,4787.24137931035,6290,7198,7670
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,4,1900,2128,2470,2760,2597.5,2887.5,2937,2970
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2017-10-17,2020-09-21,33,1240,1994,2260,2780,2705.15151515152,3160,3410,4350
"Dry Creek - Spanish Fork","WFWQC_UT-4996040","WFWQC_UT",2018-06-20,2018-06-20,1,3260,3260,3260,3260,3260,3260,3260,3260
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,39,74.5,386,493.5,571,620.217948717949,685.5,902.8,1560
"Spanish Fork River","WFWQC_UT-4995575","WFWQC_UT",2016-08-31,2018-06-12,10,410,635,701.75,790,2043.1,1111.5,2426,13100
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,18,1490,2649,3340,4190,3958.88888888889,4447.5,5328,6250
"4000 South Drain Spanish Fork","WFWQC_UT-4917712","WFWQC_UT",2016-08-31,2018-08-14,11,840,974,2045,3820,3383.09090909091,4700,5120,6150
"Benjamin Slough","UTAHDWQ_WQX-4995465","UTAHDWQ_WQX",2017-05-12,2020-08-11,38,509,1011.5,1327.5,3175,3010,3945,5293,6420
"Benjamin Slough","WFWQC_UT-4995467","WFWQC_UT",2016-07-28,2018-08-14,15,518,1204,1525,2340,3412.53333333333,4955,6762,8860
"Currant Creek","UTAHDWQ_WQX-4995310","UTAHDWQ_WQX",2017-05-16,2020-08-11,19,43,171,341.5,437,427.684210526316,511.5,562.6,1040
"Currant Creek","UTAHDWQ_WQX-4995312","UTAHDWQ_WQX",2017-10-17,2018-03-07,4,103,136.6,187,235.5,240.25,288.75,347.7,387
