"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,24,1050,1441,2717.5,3330,3390.83333333333,4247.5,4623,5960
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,13,583,1520,1880,2090,2836.38461538462,3650,4584,7930
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,1190,1530,1760,2050,2283.65853658537,2610,3000,5900
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-06-16,16,832,923.5,1067.5,1350,1454.3125,1810,1935,2840
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,4480,4980,5180,5990,5987.56097560976,6710,7030,7760
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2019-06-19,23,4560,4824,5295,6080,6155.65217391304,7185,7616,7990
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,28,1630,1796,2217.5,2420,2580.35714285714,2685,3483,4610
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,14,3710,3958,4247.5,4795,4825.71428571429,5197.5,5497,6690
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2019-04-19,11,2780,2830,3705,4800,4563.63636363636,5250,5730,6370
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,1800,2070,2290,2640,2857.07317073171,2990,3370,11300
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,2760,3240,3467.5,3980,4029.5,4367.5,4951,6110
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,2830,3160,3310,3780,3796.58536585366,4140,4740,5190
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,37,1130,2786,3130,3550,3612.97297297297,4230,4562,5250
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,709,948,1140,2660,2385.73170731707,3430,3680,4410
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,29,2740,3252,3400,4280,4426.89655172414,4880,6198,6710
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,4,2570,2618,2690,2735,3105,3150,3888,4380
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2018-10-09,2020-09-21,24,1500,1902,2280,2510,2550.41666666667,2922.5,3161,3860
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,39,1600,1958,2065,3210,3355.64102564103,4370,5082,6260
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,18,5520,5960,6537.5,7475,8283.33333333333,8745,10310,19100
"Benjamin Slough","UTAHDWQ_WQX-4995465","UTAHDWQ_WQX",2017-05-12,2020-08-11,38,3440,4271,5175,6670,7225.52631578947,8992.5,10790,12300
"Currant Creek","UTAHDWQ_WQX-4995310","UTAHDWQ_WQX",2017-05-16,2020-08-11,14,1890,2790,3505,4265,4636.42857142857,6052.5,6745,7310
"Currant Creek","UTAHDWQ_WQX-4995312","UTAHDWQ_WQX",2018-03-07,2018-03-07,1,3440,3440,3440,3440,3440,3440,3440,3440
