"WS_Name","MonitoringLocationIdentifier","OrganizationIdentifier","StartDate","EndDate","n","Min","P10","P25","Median","Mean","P75","P90","Max"
"Tickville Wash","UTAHDWQ_WQX-4994792","UTAHDWQ_WQX",2017-05-16,2020-09-21,24,15.6,25,41.5,59,81.6083333333333,98.25,167.8,266
"Dry Creek - Saratoga","UTAHDWQ_WQX-4994804","UTAHDWQ_WQX",2017-05-16,2020-07-07,13,21,23.6,27,39,65.6153846153846,67,109.6,282
"Lehi Spring Creek","UTAHDWQ_WQX-4994950","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,9.9,13.6,20.8,30,30.9756097560976,42,48,57
"Lehi Spring Creek","WFWQC_UT-4994948","WFWQC_UT",2016-03-15,2019-08-13,16,10,12.5,17.5,27.5,33.4375,42.25,66,76
"American Fork River","UTAHDWQ_WQX-4994960","UTAHDWQ_WQX",2017-05-16,2020-06-16,16,4.5,4.55,5.475,8.95,21.8125,31.5,58.5,79
"American Fork River","WFWQC_UT-4994958","WFWQC_UT",2015-10-28,2019-06-11,8,21,21.7,22,30,71.25,88,194.8,199
"Timp SSD","UTAHDWQ_WQX-4995038","UTAHDWQ_WQX",2017-05-16,2020-09-21,41,171,287,491,910,1128.65853658537,1610,2190,3170
"Timp SSD","UTAHDWQ_WQX-4995041","UTAHDWQ_WQX",2017-05-16,2019-06-19,23,163,288.8,364.5,700,987.869565217391,1430,2122,2790
"Timp SSD","WFWQC_UT-4995043","WFWQC_UT",2015-10-14,2020-12-08,44,57,244.6,575,1090,1121.47727272727,1638.5,1855,3060
"Lindon Drain","UTAHDWQ_WQX-4995120","UTAHDWQ_WQX",2017-05-11,2020-09-21,38,21,33.4,37.75,48,78.5,60,120.6,555
"Lindon Drain","WFWQC_UT-4995075","WFWQC_UT",2015-10-14,2020-12-08,40,29,57.8,114.75,205.5,210.05,312.75,373.5,444
"Powell Slough Major","UTAHDWQ_WQX-4995210","UTAHDWQ_WQX",2017-08-09,2019-04-19,14,619,1067.2,1342.5,1675,1748.92857142857,1875,2328,3850
"Powell Slough Major","UTAHDWQ_WQX-4995230","UTAHDWQ_WQX",2017-09-13,2019-04-19,11,38,46,50.5,117,103.181818181818,127,140,204
"Powell Slough Major","WFWQC_UT-4995210","WFWQC_UT",2015-10-27,2020-12-08,36,111,411,982,1440,1650.88888888889,1875,2655,9550
"Provo River","UTAHDWQ_WQX-4996680","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,6.7,11.4,13.4,21,26.5536585365854,35,48,76
"Provo River","WFWQC_UT-4996680","WFWQC_UT",2015-10-14,2019-09-11,20,10,11.9,16.25,25.5,34.4,32,58.4000000000001,131
"Mill Race","UTAHDWQ_WQX-4996540","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,706,906.1,1117.5,1275,1279.975,1440,1671,1890
"Mill Race","UTAHDWQ_WQX-4996566","UTAHDWQ_WQX",2017-05-12,2020-09-21,40,667,773.7,901.75,1125,1140.25,1370,1494,1670
"Mill Race","WFWQC_UT-4996536","WFWQC_UT",2015-10-14,2019-06-18,13,278,1022,1160,1250,1220.61538461538,1320,1626,1720
"Mill Race","WFWQC_UT-4996540","WFWQC_UT",2015-11-16,2020-12-09,44,388,996.2,1115,1410,1386.59090909091,1607.5,1778,2140
"Spring Creek - Springville","UTAHDWQ_WQX-4996275","UTAHDWQ_WQX",2017-09-18,2020-09-21,37,10.1,775.6,899,1010,1098.84054054054,1270,1736,1950
"Spring Creek - Springville","WFWQC_UT-4996275","WFWQC_UT",2017-02-16,2020-12-09,29,262,680.2,951,1190,1247.34482758621,1670,1860,2660
"Hobble Creek","UTAHDWQ_WQX-4996100","UTAHDWQ_WQX",2017-05-12,2020-09-21,41,5.1,7.5,9.1,25,68.1512195121951,36,70,1710
"Hobble Creek","WFWQC_UT-4996096","WFWQC_UT",2018-05-16,2019-06-18,8,30,33.5,35.75,37.5,49.75,56.75,76.4,103
"Hobble Creek","WFWQC_UT-4996100","WFWQC_UT",2016-02-17,2019-09-11,16,5,19.5,33,45,117.875,64.5,194.5,977
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996040","UTAHDWQ_WQX",2017-06-12,2020-09-30,29,74,220.2,455,661,677.48275862069,803,977.4,2820
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996042","UTAHDWQ_WQX",2017-06-12,2017-09-18,4,85,89.5,96.25,100.5,151.25,155.5,253.6,319
"Dry Creek - Spanish Fork","UTAHDWQ_WQX-4996044","UTAHDWQ_WQX",2017-10-17,2020-09-21,33,26,35.2,46,60,66.8181818181818,74,104.6,186
"Dry Creek - Spanish Fork","WFWQC_UT-4996040","WFWQC_UT",2018-05-17,2018-06-20,2,252,310.8,399,546,546,693,781.2,840
"Spanish Fork River","UTAHDWQ_WQX-4995578","UTAHDWQ_WQX",2017-05-12,2020-09-21,39,12,17.52,40,63,134.64358974359,157.5,285.800000000001,825
"Spanish Fork River","WFWQC_UT-4995575","WFWQC_UT",2015-10-14,2020-11-10,33,14,32,52,89,118.878787878788,122,192.8,739
"4000 South Drain Spanish Fork","UTAHDWQ_WQX-5919910","UTAHDWQ_WQX",2018-04-19,2019-09-24,18,56,84.9,93.5,196,250.833333333333,348.75,440.1,902
"4000 South Drain Spanish Fork","WFWQC_UT-4917712","WFWQC_UT",2015-10-14,2020-12-09,45,12,56.2,92,127,179.577777777778,201,402,628
"Benjamin Slough","UTAHDWQ_WQX-4995465","UTAHDWQ_WQX",2017-05-12,2020-08-11,38,150,212.1,335.75,485.5,499.473684210526,675.5,811.9,864
"Benjamin Slough","WFWQC_UT-4995467","WFWQC_UT",2015-10-27,2020-04-14,40,43,103.2,257.5,530,516.025,757.75,880.3,1030
"Currant Creek","UTAHDWQ_WQX-4995310","UTAHDWQ_WQX",2017-05-16,2020-08-11,18,16.3,16.91,26,32.5,43.4444444444444,51.25,83.1,116
"Currant Creek","UTAHDWQ_WQX-4995312","UTAHDWQ_WQX",2017-10-17,2018-03-07,4,16.8,16.95,17.175,17.65,18.275,18.75,20.1,21
