SystemName,UTAH LAKE/JORDAN RIVER
StationName,05 JORDAN NARROWS (TOTAL)
DateStart,2010
DateEnd,2019
Date,Flow
1/1/2010,5.102
1/2/2010,5.011
1/3/2010,5.312
1/4/2010,5.418
1/5/2010,5.21
1/6/2010,5.129
1/7/2010,5.148
1/8/2010,5.337
1/9/2010,5.184
1/10/2010,5.166
1/11/2010,5.222
1/12/2010,5.222
1/13/2010,5
1/14/2010,5
1/15/2010,5
1/16/2010,5.501
1/17/2010,6
1/18/2010,6.477
1/19/2010,6.991
1/20/2010,8
1/21/2010,9.353
1/22/2010,9.996
1/23/2010,9.114
1/24/2010,9
1/25/2010,8.187
1/26/2010,7.889
1/27/2010,7.351
1/28/2010,7.567
1/29/2010,8.119
1/30/2010,7.908
1/31/2010,8
2/1/2010,7.615
2/2/2010,7.84
2/3/2010,291.767
2/4/2010,895.352
2/5/2010,897.852
2/6/2010,893.044
2/7/2010,890.534
2/8/2010,891.432
2/9/2010,892.821
2/10/2010,891.676
2/11/2010,889.915
2/12/2010,890.738
2/13/2010,889.779
2/14/2010,888.403
2/15/2010,883.35
2/16/2010,882.68
2/17/2010,879.454
2/18/2010,879.785
2/19/2010,878.494
2/20/2010,875.764
2/21/2010,875.86
2/22/2010,873.622
2/23/2010,877.275
2/24/2010,872.682
2/25/2010,868.468
2/26/2010,869.284
2/27/2010,869.486
2/28/2010,862.086
3/1/2010,868.58
3/2/2010,854.728
3/3/2010,865.264
3/4/2010,864.642
3/5/2010,864.38
3/6/2010,863.615
3/7/2010,861.076
3/8/2010,857.43
3/9/2010,845.133
3/10/2010,819.118
3/11/2010,841.555
3/12/2010,850.464
3/13/2010,829
3/14/2010,792.163
3/15/2010,848.444
3/16/2010,847.305
3/17/2010,846.613
3/18/2010,814.74
3/19/2010,810.508
3/20/2010,837.523
3/21/2010,838.881
3/22/2010,546.536
3/23/2010,112.027
3/24/2010,67.159
3/25/2010,66.637
3/26/2010,66.64
3/27/2010,80.25
3/28/2010,77.98
3/29/2010,82.588
3/30/2010,92.507
3/31/2010,86.48
4/1/2010,90.314
4/2/2010,96.22
4/3/2010,96.384
4/4/2010,97.721
4/5/2010,98.365
4/6/2010,96.669
4/7/2010,96.349
4/8/2010,105.008
4/9/2010,172.588
4/10/2010,295.639
4/11/2010,436.833
4/12/2010,403.804
4/13/2010,376.296
