"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","NO23.d_mgL","PO4.d_mgL","CO3.d_mgL","NO3.d_mgL","Nmixed_d_mgL","DOC_mgL","TDN_mgL","NH3.d_mgL","TDP_mgL_2","TKN.d_mgL","NO2.d_mgL","DON_mgL","DO_mgL","TP_mgL","TDP_mgL","NH3.t_mgL","CO3.t_mgL","NO23.t_mgL"
"USGS-395059111501901","2008-08-20","USGS-UT","USGS Utah Water Science Center","(D-11- 1)21bbb- 1","Well",39.8496768,-111.839379,8,2008,"Accepted",1.79,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395059111501901","2012-08-14","USGS-UT","USGS Utah Water Science Center","(D-11- 1)21bbb- 1","Well",39.8496768,-111.839379,8,2012,"Preliminary",1.68,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395059111501901","2018-05-29","USGS-UT","USGS Utah Water Science Center","(D-11- 1)21bbb- 1","Well",39.8496768,-111.839379,5,2018,"Accepted",1.76,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395326111585001","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C-11- 1) 6abc- 1","Well",39.89050778,-111.9813303,8,2007,"Accepted",6.37,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,8,2007,"Accepted",11.8,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2008-09-05","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,9,2008,"Accepted",12.2,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2011-08-08","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,8,2011,"Preliminary",11.5,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2014-07-01","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,7,2014,"Accepted",11.6,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395340111590001","2017-06-28","USGS-UT","USGS Utah Water Science Center","(C-10- 1)31cdd- 1","Well",39.89356329,-111.9846638,6,2017,"Accepted",11.1,0.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395825111571801","2007-08-22","USGS-UT","USGS Utah Water Science Center","(C-10- 1) 4cbb- 1","Well",39.9738413,-111.95633,8,2007,"Accepted",3.32,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395832111413101","2015-08-11","USGS-UT","USGS Utah Water Science Center","(D-10- 2) 3daa-S1","Spring",39.97551079,-111.6927045,8,2015,"Preliminary",0.085,0.004,0,0.085,0.09,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395848111571801","2009-07-22","USGS-UT","USGS Utah Water Science Center","(C-10- 1) 4bbb- 1","Well",39.9799524,-111.9557744,7,2009,"Accepted",3.54,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2000-06-14","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,6,2000,"Accepted",1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2005-08-23","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,8,2005,"Accepted",1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2006-08-10","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,8,2006,"Accepted",2.25,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2007-08-22","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,8,2007,"Accepted",1.85,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2008-07-17","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2008,"Accepted",1.92,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USGS-395942111470801","2010-07-28","USGS-UT","USGS Utah Water Science Center","(D- 9- 1)36bbc- 1","Well",39.9955099,-111.7863219,7,2010,"Accepted",2.19,0.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
