"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","DO_mgL","DOC_mgL","NH3.d_mgL","NO3.d_mgL","CO3.t_mgL","DIC_mgL","NH3.t_mgL","NO3.t_mgL","P_NA","TN_mgL","CO3.d_mgL","MixedN.t_mgL","NO23_mgL","NO3_mgL","TKN.t_mgL","TP_mgL","TDP_mgL","TKN.d_mgL","MixedN.d_mgL","NO2.d_mgL","PO4.d_mgL","DON_mgL","TON_mgL","NO23.t_mgL","TDN_mgL","TOC_mgL","Chla_uncorrected_ugL","NO2.t_mgL","BOD_mgL","Chla_ugL","PO4.t_mgL","orig.units","Flow.cfs","SiteType","OBJECTID_1","FID_UL_sub","OBJECTID","TARGET_FID","Type","wsa_sqkm","WS_Name","Monitored_","Shape_Leng","Shape_Area","geometry","Backwater","Flow.USGS.cfs","load.TN_kgd","load.TDN_kgd","load.TP_kgd","load.TDP_kgd","load.TOC_kgd","load.DOC_kgd"
"UTAHDWQ_WQX-4994792",2017-05-16,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,5,2017,"Accepted",9.34,3.9,0.006,NA,NA,NA,0.006,NA,NA,0.187,NA,NA,0.105,NA,NA,0.096,0.0077,NA,NA,NA,NA,NA,NA,0.096,0.394,3.29,NA,NA,NA,NA,NA,"cfs",25.9,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,11.849479842816,24.966283732992,6.083155427328,0.4879197582336,208.47480579072,247.1281892352
"UTAHDWQ_WQX-4994792",2017-06-12,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,6,2017,"Accepted",8.95,3.87,0.006,NA,NA,NA,0.006,NA,NA,0.315,NA,NA,0.22,NA,NA,0.175,0.0149,NA,NA,NA,NA,NA,NA,0.168,0.499,3.26,NA,NA,NA,NA,NA,"cfs",28.63,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,22.064282924544,34.9526259661824,12.25793495808,1.04367560500224,228.347816933376,271.075475930112
"UTAHDWQ_WQX-4994792",2017-07-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,7,2017,"Accepted",8.13,4.55,0.006,NA,NA,NA,0.006,NA,NA,0.332,NA,NA,0.165,NA,NA,0.266,0.023,NA,NA,NA,NA,NA,NA,0.115,0.598,3.23,NA,NA,NA,NA,NA,"cfs",17.83,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,14.4826269069312,26.0861773805568,11.6035504736256,1.0033145146368,140.900255751168,198.48178441728
"UTAHDWQ_WQX-4994792",2017-08-09,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,8,2017,"Accepted",8.12,4.42,0.006,NA,NA,NA,0.006,NA,NA,0.243,NA,NA,0.135,NA,NA,0.151,0.024,NA,NA,NA,NA,NA,NA,0.109,0.435,3.55,NA,NA,NA,NA,NA,"cfs",21.5,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,12.78211290624,22.8815601408,7.94279443968,1.26243090432,186.734571264,232.4976915456
"UTAHDWQ_WQX-4994792",2017-09-14,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,9,2017,"Accepted",8.96,4.62,0.006,NA,NA,NA,0.006,NA,NA,0.193,NA,NA,0.105,NA,NA,0.141,0.045,NA,NA,NA,NA,NA,NA,0.084,0.509,4.09,NA,NA,NA,NA,NA,"cfs",22.62,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,10.6808994220032,28.1687969212416,7.8031441373184,2.490365150208,226.346521430016,255.677488754688
"UTAHDWQ_WQX-4994792",2017-10-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,10,2017,"Accepted",9.14,3.61,0.006,NA,NA,NA,0.006,NA,NA,0.27,NA,NA,0.056,NA,NA,0.0156,0.0069,NA,NA,NA,NA,NA,NA,0.051,0.382,2.26,NA,NA,NA,NA,NA,"cfs",20.54,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,13.568196335616,19.1964851859456,0.78394023272448,0.34674279524352,113.570828587008,181.411810265088
"UTAHDWQ_WQX-4994792",2018-01-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,1,2018,"Accepted",4.54,4.14,0.058,NA,NA,NA,0.044,NA,NA,2.58,NA,NA,2.36,NA,NA,0.077,0.054,NA,NA,NA,NA,NA,NA,2.36,2.59,3.19,NA,NA,NA,NA,NA,NA,NA,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,NA,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994792",2018-02-14,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,2,2018,"Accepted",5.89,1.39,0.006,NA,NA,NA,0.006,NA,NA,2.21,NA,NA,2.2,NA,NA,0.025,0.025,NA,NA,NA,NA,NA,NA,2.21,2.28,1.05,NA,NA,NA,NA,NA,NA,NA,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,NA,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994792",2018-03-12,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,3,2018,"Accepted",5.88,1.64,0.015,NA,NA,NA,0.015,NA,NA,2.04,NA,NA,2.1,NA,NA,0.025,0.024,NA,NA,NA,NA,NA,NA,2.1,2.13,1.07,NA,NA,NA,NA,NA,NA,NA,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,NA,NA,NA,NA,NA,NA
"UTAHDWQ_WQX-4994792",2018-04-18,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,4,2018,"Accepted",4.92,1.48,0.015,NA,NA,NA,0.015,NA,NA,1.69,NA,NA,1.66,NA,NA,0.025,0.023,NA,NA,NA,NA,NA,NA,1.71,1.78,1.09,NA,NA,NA,NA,NA,NA,NA,"Stream",70,70,70,0,"Tributary",0,"Tickville Wash","YES",0,0.0103300620475,c(-111.901945, 40.352421),"No",NA,NA,NA,NA,NA,NA,NA
