"MonitoringLocationIdentifier","ActivityStartDate","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationName","MonitoringLocationTypeName","LatitudeMeasure","LongitudeMeasure","Month","Year","ResultStatusIdentifier","orig.units","Flow.cfs","WS_Name"
"UTAHDWQ_WQX-4994792",2017-05-16,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,5,2017,"Accepted","cfs",25.9,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2017-06-12,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,6,2017,"Accepted","cfs",28.63,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2017-07-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,7,2017,"Accepted","cfs",17.83,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2017-08-09,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,8,2017,"Accepted","cfs",21.5,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2017-09-14,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,9,2017,"Accepted","cfs",22.62,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2017-10-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,10,2017,"Accepted","cfs",20.54,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-01-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,1,2018,"Accepted",NA,NA,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-02-14,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,2,2018,"Accepted",NA,NA,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-03-12,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,3,2018,"Accepted",NA,NA,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-04-18,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,4,2018,"Accepted",NA,NA,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-05-15,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,5,2018,"Accepted","cfs",24.39,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-06-14,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,6,2018,"Accepted","cfs",22.14,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-07-09,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,7,2018,"Accepted","cfs",5.79,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-08-07,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,8,2018,"Accepted","cfs",11.39,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-09-17,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,9,2018,"Accepted","cfs",17.65,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2018-10-09,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,10,2018,"Accepted","cfs",17.4,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2019-05-15,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,5,2019,"Accepted","cfs",26,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2019-06-19,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,6,2019,"Accepted","cfs",28.2,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2019-08-13,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,8,2019,"Accepted","cfs",6.13,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2019-10-09,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,10,2019,"Accepted","cfs",7.2,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2020-06-16,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,6,2020,"Accepted","cfs",16.8,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2020-07-07,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,7,2020,"Accepted","cfs",10.7,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2020-08-11,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,8,2020,"Accepted","cfs",3.9,"Tickville Wash"
"UTAHDWQ_WQX-4994792",2020-09-21,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Saratoga Springs at Cedar Valley","River/Stream",40.352421,-111.901945,9,2020,"Accepted","cfs",9.35,"Tickville Wash"
"UTAHDWQ_WQX-4994804",2017-05-16,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Dry Creek at 145 N (Saratoga Springs)","River/Stream",40.36504,-111.88393,5,2017,"Accepted","cfs",29.09,"Dry Creek - Saratoga"
"UTAHDWQ_WQX-4994804",2017-06-12,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Dry Creek at 145 N (Saratoga Springs)","River/Stream",40.36504,-111.88393,6,2017,"Accepted","cfs",19.15,"Dry Creek - Saratoga"
"UTAHDWQ_WQX-4994804",2017-07-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Dry Creek at 145 N (Saratoga Springs)","River/Stream",40.36504,-111.88393,7,2017,"Accepted","cfs",6.765,"Dry Creek - Saratoga"
"UTAHDWQ_WQX-4994804",2018-01-10,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","Dry Creek at 145 N (Saratoga Springs)","River/Stream",40.36504,-111.88393,1,2018,"Accepted","cfs",2.26,"Dry Creek - Saratoga"
