Organization ID,Monitoring Location ID,Monitoring Location Name,Activity ID,Activity Start Date,Activity Type,Media,Media Subdivision,Created,Last Changed
UTAHDWQ_WQX,4994790,JORDAN R AT UTAH L OUTLET U121 XING,1974DATA-14955-742114,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4994790,JORDAN R AT UTAH L OUTLET U121 XING,1974DATA-14955-742114C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4994940,UNNAMED STREAM 2.2MI W OF AM FK & 2MI W OF LEHI,1974DATA-14956-742085,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4994940,UNNAMED STREAM 2.2MI W OF AM FK & 2MI W OF LEHI,1974DATA-14956-742085C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4994950,SPRING CK BL LEHI MILL POND,1974DATA-14957-742115,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4994950,SPRING CK BL LEHI MILL POND,1974DATA-14957-742115C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995190,UNNAMED CK 1.5MI W OF GENEVA STEEL,1974DATA-14958-742116,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995190,UNNAMED CK 1.5MI W OF GENEVA STEEL,1974DATA-14958-742116C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995240,UNNAMED CK 3MI S OF GENEVA STEEL (POWELL SLOUGH TO UTAH L),1974DATA-14959-742117,12-15-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995240,UNNAMED CK 3MI S OF GENEVA STEEL (POWELL SLOUGH TO UTAH L),1974DATA-14959-742117C,12-15-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995580,SPANISH FORK R AB UTAH L (LAKESHORE),1974DATA-14960-742118,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995580,SPANISH FORK R AB UTAH L (LAKESHORE),1974DATA-14960-742118C,12-14-1974,Sample-Routine,Water,,11-03-2009 1:07:32 PM,11-03-2009 1:07:32 PM
UTAHDWQ_WQX,4995970,DRY CK 1MI N 0F SPANISH FK AIRPORT,1974DATA-14961-742119,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4995970,DRY CK 1MI N 0F SPANISH FK AIRPORT,1974DATA-14961-742119C,12-14-1974,Sample-Routine,Water,,11-03-2009 1:07:32 PM,11-03-2009 1:07:32 PM
UTAHDWQ_WQX,4996190,SPRING CK UPRR XING 1.7MI SE OF PROVO GOLF CSE,1974DATA-14962-750069,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996190,SPRING CK UPRR XING 1.7MI SE OF PROVO GOLF CSE,1974DATA-14962-750069C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996540,MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE),1974DATA-14963-742121,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996540,MILL RACE CREEK AT I-15 CROSSING (2 MI S PROVO COURTHOUSE),1974DATA-14963-742121C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996590,"MILL RACE CK US189 XING, .7MI S OF PROVO COURTHOUSE",1974DATA-14964-742122,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996590,"MILL RACE CK US189 XING, .7MI S OF PROVO COURTHOUSE",1974DATA-14964-742122C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996680,PROVO R. AT CENTER ST XING EAST OF UTAH LAKE BOAT HARBOR,1974DATA-14965-742123,12-15-1974,Field Msr/Obs,Water,,11-20-2009 1:43:56 PM,11-20-2009 1:43:56 PM
UTAHDWQ_WQX,4996680,PROVO R. AT CENTER ST XING EAST OF UTAH LAKE BOAT HARBOR,1974DATA-14965-742123C,12-15-1974,Sample-Routine,Water,,11-20-2009 1:43:57 PM,11-20-2009 1:43:57 PM
UTAHDWQ_WQX,5918060,CURRANT CK BL MONA RES,1974DATA-14969-750009,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:57 PM,11-20-2009 1:43:57 PM
UTAHDWQ_WQX,5918060,CURRANT CK BL MONA RES,1974DATA-14969-750009C,12-14-1974,Sample-Routine,Water,,11-03-2009 1:07:32 PM,11-03-2009 1:07:32 PM
UTAHDWQ_WQX,5918100,CURRANT CK AB MONA RES,1974DATA-14970-750012,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:57 PM,11-20-2009 1:43:57 PM
UTAHDWQ_WQX,5918100,CURRANT CK AB MONA RES,1974DATA-14970-750012C,12-14-1974,Sample-Routine,Water,,11-20-2009 1:43:57 PM,11-20-2009 1:43:57 PM
UTAHDWQ_WQX,5919860,BEER CK AB UTAH LAKE,1974DATA-14971-742072,12-14-1974,Field Msr/Obs,Water,,11-20-2009 1:43:57 PM,11-20-2009 1:43:57 PM
UTAHDWQ_WQX,5919860,BEER CK AB UTAH LAKE,1974DATA-14971-742072C,12-14-1974,Sample-Routine,Water,,11-03-2009 1:07:33 PM,11-03-2009 1:07:33 PM
UTAHDWQ_WQX,4994790,JORDAN R AT UTAH L OUTLET U121 XING,1975DATA-1297-750158,01-11-1975,Field Msr/Obs,Water,,11-20-2009 1:44:49 PM,11-20-2009 1:44:49 PM
UTAHDWQ_WQX,4994790,JORDAN R AT UTAH L OUTLET U121 XING,1975DATA-1297-750158C,01-11-1975,Sample-Routine,Water,,11-20-2009 1:44:49 PM,11-20-2009 1:44:49 PM
UTAHDWQ_WQX,4994790,JORDAN R AT UTAH L OUTLET U121 XING,1975DATA-1298-750288,02-08-1975,Field Msr/Obs,Water,,11-20-2009 1:44:49 PM,11-20-2009 1:44:49 PM
UTAHDWQ_WQX,4994790,JORDAN R AT UTAH L OUTLET U121 XING,1975DATA-1298-750288C,02-08-1975,Sample-Routine,Water,,11-20-2009 1:44:49 PM,11-20-2009 1:44:49 PM
