"Date","precip.mm","et.mm","Year","Month","SurfaceArea.ac","precip.acftmo","et.acftmo"
2015-01-01,12.764,16.224,2015,1,83274.1358808129,3487.24104456265,4432.54455554563
2015-02-01,1.13,30.504,2015,2,83826.9563966732,310.775789790816,8389.29618741509
2015-03-01,10.437,67.464,2015,3,84162.7745621589,2881.91232974164,18628.469235766
2015-04-01,27.221,103.032,2015,4,83906.6203777762,7493.51087041813,28363.0804158892
2015-05-01,62.624,126.864,2015,5,84004.2533899333,17259.4565757585,34964.2900330069
2015-06-01,15.445,184.056,2015,6,83606.196659292,4236.54103478597,50486.293085048
2015-07-01,15.234,161.232,2015,7,82058.2032927257,4101.29484567383,43406.851159097
2015-08-01,31.17,146.112,2015,8,79385.6171856725,8118.27325353482,38055.0895611318
2015-09-01,24.751,93.816,2015,9,76860.5838585668,6241.39209673027,23657.3245907982
2015-10-01,18.477,53.232,2015,10,76169.9459812069,4617.4281230143,13302.751195773
2015-11-01,21.156,18.888,2015,11,76703.3840458911,5323.93960916953,4753.19395622963
2015-12-01,41.327,12.048,2015,12,77621.1266875449,10524.4366883733,3068.17366906674
2016-01-01,34.344,14.712,2016,1,79204.684314274,8924.55931131702,3823.02925075984
2016-02-01,12.975,28.272,2016,2,80950.8784074713,3445.98965661726,7508.67202866151
2016-03-01,24.401,60.36,2016,3,82047.1449451277,6568.34771589915,16247.9188611808
2016-04-01,24.117,100.08,2016,4,82343.8626458898,6515.37708474712,27037.3155301858
2016-05-01,28.139,135.432,2016,5,82036.1913371109,7573.5445801672,36451.1990327021
2016-06-01,2.54,180.72,2016,6,81318.1507611422,677.651256342852,48214.6200969607
2016-07-01,1.058,185.616,2016,7,77661.7808524517,269.574029336922,47294.1900088867
2016-08-01,0,141.48,2016,8,73959.3542861422,0,34329.952245418
2016-09-01,51.972,91.368,2016,9,71502.4278257737,12192.0084611585,21433.8380104504
2016-10-01,13.257,48.432,2016,10,71737.3159318963,3120.14959747096,11398.8900433517
2016-11-01,29.267,20.808,2016,11,72181.1598473618,6930.85959728588,4927.64295965848
2016-12-01,35.119,12.24,2016,12,73395.7755245685,8456.64777115263,2947.38941082913
2017-01-01,76.653,15,2017,1,75744.4618039937,19048.6884208055,3727.5817816926
2017-02-01,55.43,25.368,2017,2,78712.6963685054,14314.4513113722,6551.12756389844
2017-03-01,33.003,72.144,2017,3,81590.5210705335,8834.42246355255,19311.8981368523
2017-04-01,23.696,105.768,2017,4,83640.0885720513,6502.41318505029,29023.7693178764
2017-05-01,9.378,171.024,2017,5,85010.5505199076,2615.58052091763,47699.6207090442
2017-06-01,1.41,205.08,2017,6,85955.1400652844,397.627124317753,57833.5962092799
2017-07-01,6.065,209.376,2017,7,85120.089154892,1693.74455618248,58471.4691171085
2017-08-01,6.981,176.712,2017,8,83922.5531449424,1922.12383039647,48655.2565989143
2017-09-01,39.491,105.624,2017,9,82824.6356032844,10731.0619573796,28701.6709677208
2017-10-01,1.975,47.664,2017,10,82616.0930674733,535.32409385912,12919.3354985828
2017-11-01,8.11,21.216,2017,11,82952.9882870436,2207.18088913361,5774.05052328713
2017-12-01,7.405,11.616,2017,12,83481.7917342228,2028.15835889737,3181.51080309951
2018-01-01,20.381,16.032,2018,1,84164.7036391259,5627.82422857291,4426.93086857765
2018-02-01,16.925,24.336,2018,2,84810.4727214541,4709.37418244951,6771.48183776019
2018-03-01,29.125,57.72,2018,3,85356.8601095615,8156.22884084967,16164.0353199603
2018-04-01,33.848,86.952,2018,4,86030.4081058578,9553.6655300757,24542.3754777577
2018-05-01,24.047,119.64,2018,5,85877.3228377194,6775.23616233149,33708.5397122859
2018-06-01,0.212,140.544,2018,6,85190.8288941752,59.2534636665523,39281.6924412827
2018-07-01,7.546,152.64,2018,7,83427.6128872842,2065.43558676984,41779.4974774116
2018-08-01,9.521,126,2018,8,81570.6393216804,2548.01199797152,33720.1461762852
2018-09-01,0,93.192,2018,9,79097.0662386862,0,24183.772299592
