OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC1219-4995575-1211-F,2019-12-11,,,WFWQC_UT-4995575,STORET-897674244,,,,Flow,,3.22,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0419-4996020-0403-F,2019-04-03,,,WFWQC_UT-4996020,STORET-897674260,,,,Flow,,5.7,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0719-4996410-0717-F,2019-07-17,,,WFWQC_UT-4996410,STORET-897674156,,,,Flow,,0.37,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0519-4996566-0514-F,2019-05-14,,,WFWQC_UT-4996566,STORET-897674190,,,,Flow,,0.76,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0519-4996022-0515-F,2019-05-15,,,WFWQC_UT-4996022,STORET-897674284,,,,Flow,,0.29,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0519-4994948-0514-F,2019-05-14,,,WFWQC_UT-4994948,STORET-897674051,,,,Flow,,0.1,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC1219-4996550-1212-F,2019-12-12,,,WFWQC_UT-4996550,STORET-897674149,,,,Flow,,0.65,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0719-4994952-0716-F,2019-07-16,,,WFWQC_UT-4994952,STORET-897674041,,,,Flow,,0.12,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC1119-4995467-1111-F,2019-11-11,,,WFWQC_UT-4995467,STORET-897674255,,,,Flow,,0.84,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
WFWQC_UT,Wasatch Front Water Quality Council Utah (Volunteer),WFWQC_UT-WFWQC0419-4996550-0403-F,2019-04-03,,,WFWQC_UT-4996550,STORET-897674141,,,,Flow,,0.51,m3/sec,,Accepted,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
