Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.39,0.39,0.00,0.00,0.58,2.73
Feb,0.27,0.27,0.00,0.00,1.40,2.74
Mar,0.22,0.22,0.00,0.00,3.71,4.03
Apr,0.02,0.02,0.00,0.00,7.16,4.21
May,0.01,0.01,0.00,0.00,8.13,4.01
Jun,0.00,0.00,0.00,0.00,2.70,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.02,0.02,0.00,0.00,2.37,2.70
Oct,0.05,0.05,0.00,0.00,2.50,2.99
Nov,0.11,0.11,0.00,0.00,1.91,3.12
Dec,0.19,0.19,0.00,0.00,0.73,3.18
Total,1.29,1.29,0.00,0.00,35.00,36.01
