Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,518.0,5.3,1.0
Cropland,"6,375.6",62.8,10.2
"Wooded Areas",0.0,0.0,0.0
Wetlands,5.9,0.6,0.0
"Open Land",0.0,0.0,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",34.8,1.1,0.1
"Medium-Density Mixed",160.2,3.5,0.4
"High-Density Mixed",75.6,1.7,0.2
"Low-Density Open Space",23.7,0.7,0.1
"Farm Animals",0.0,14.9,3.6
"Stream Bank Erosion",3.0,0.0,0.0
"Subsurface Flow",0.0,0.0,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,19.1,0.0
