Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.44,0.44,0.00,0.00,0.50,2.73
Feb,0.32,0.31,0.00,0.00,1.22,2.74
Mar,0.27,0.26,0.00,0.00,3.24,4.03
Apr,0.03,0.02,0.02,0.00,6.64,4.21
May,0.03,0.01,0.02,0.00,8.96,4.01
Jun,0.02,0.00,0.02,0.00,3.22,2.47
Jul,0.02,0.00,0.01,0.00,1.87,1.89
Aug,0.02,0.01,0.01,0.00,1.94,1.94
Sep,0.03,0.03,0.01,0.00,2.32,2.70
Oct,0.07,0.06,0.00,0.00,2.38,2.99
Nov,0.13,0.13,0.00,0.00,1.76,3.12
Dec,0.23,0.23,0.00,0.00,0.65,3.18
Total,1.61,1.50,0.09,0.00,34.70,36.01
