Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"2,605.8",22.0,5.4
Cropland,"16,577.5",131.9,27.6
"Wooded Areas",1.7,0.1,0.0
Wetlands,14.9,1.9,0.1
"Open Land",46.2,0.8,0.1
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",178.7,5.6,0.6
"Medium-Density Mixed","1,279.2",23.9,2.4
"High-Density Mixed",175.5,3.3,0.3
"Low-Density Open Space",109.6,3.5,0.4
"Farm Animals",0.0,75.3,17.5
"Stream Bank Erosion","3,060.0",5.0,1.0
"Subsurface Flow",0.0,1.2,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,132.2,0.0
