Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.07,0.06,0.01,0.00,0.66,2.29
Feb,0.12,0.11,0.01,0.00,1.52,2.70
Mar,0.08,0.03,0.05,0.00,3.75,4.15
Apr,0.10,0.00,0.09,0.00,7.16,4.09
May,0.08,0.00,0.08,0.00,6.58,3.36
Jun,0.05,0.00,0.05,0.00,1.76,1.72
Jul,0.04,0.00,0.04,0.00,2.45,2.45
Aug,0.03,0.00,0.03,0.00,2.94,2.96
Sep,0.03,0.01,0.02,0.00,2.47,2.86
Oct,0.02,0.00,0.02,0.00,2.76,3.04
Nov,0.04,0.02,0.01,0.00,1.83,2.91
Dec,0.05,0.04,0.01,0.00,0.87,2.67
Total,0.71,0.27,0.42,0.00,34.75,35.20
