Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"33,611.8",80.0,46.3
Cropland,"106,824.9",294.1,148.2
"Wooded Areas","1,215.6",32.6,3.2
Wetlands,615.9,16.1,1.6
"Open Land","13,626.7",90.3,19.0
"Barren Areas",11.5,2.0,0.1
"Low-Density Mixed",319.4,10.4,1.1
"Medium-Density Mixed",477.0,8.4,0.8
"High-Density Mixed",23.0,0.4,0.0
"Low-Density Open Space",124.0,4.1,0.4
"Farm Animals",0.0,"2,650.1",616.1
"Stream Bank Erosion","72,360.0",40.0,24.0
"Subsurface Flow",0.0,"1,243.1",15.5
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,57.3,0.0
