Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.17,0.12,0.05,0.00,0.70,2.29
Feb,0.30,0.18,0.12,0.00,1.62,2.70
Mar,0.28,0.07,0.21,0.00,4.00,4.15
Apr,0.23,0.01,0.22,0.00,7.12,4.09
May,0.18,0.01,0.17,0.00,5.09,3.36
Jun,0.12,0.00,0.12,0.00,1.76,1.72
Jul,0.10,0.00,0.09,0.00,2.45,2.45
Aug,0.08,0.01,0.07,0.00,2.94,2.96
Sep,0.08,0.03,0.05,0.00,2.47,2.86
Oct,0.05,0.01,0.04,0.00,2.78,3.04
Nov,0.08,0.05,0.03,0.00,1.87,2.91
Dec,0.10,0.08,0.02,0.00,0.89,2.67
Total,1.77,0.57,1.19,0.00,33.69,35.20
