Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,845.9,2.1,1.4
Cropland,423.3,1.2,0.6
"Wooded Areas",395.9,3.6,0.7
Wetlands,0.4,0.0,0.0
"Open Land","17,149.4",62.9,24.2
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",16.6,0.5,0.1
"Medium-Density Mixed",8.4,0.1,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",32.7,1.0,0.1
"Farm Animals",0.0,262.9,61.1
"Stream Bank Erosion","3,818.0",2.0,1.0
"Subsurface Flow",0.0,57.4,1.5
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,1.6,0.0
