Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.20,0.09,0.12,0.00,0.75,2.29
Feb,0.36,0.14,0.22,0.00,1.71,2.70
Mar,0.41,0.05,0.36,0.00,4.24,4.15
Apr,0.34,0.00,0.34,0.00,6.78,4.09
May,0.27,0.00,0.26,0.00,4.36,3.36
Jun,0.19,0.00,0.19,0.00,1.76,1.72
Jul,0.14,0.00,0.14,0.00,2.45,2.45
Aug,0.11,0.00,0.10,0.00,2.94,2.96
Sep,0.09,0.02,0.07,0.00,2.49,2.86
Oct,0.06,0.00,0.06,0.00,2.82,3.04
Nov,0.08,0.03,0.04,0.00,1.91,2.91
Dec,0.09,0.06,0.03,0.00,0.93,2.67
Total,2.34,0.39,1.93,0.00,33.14,35.20
