Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"3,578.1",9.4,5.7
Cropland,0.0,0.0,0.0
"Wooded Areas",99.4,2.6,0.3
Wetlands,0.4,0.1,0.0
"Open Land","5,092.6",20.4,7.1
"Barren Areas",1.8,0.1,0.0
"Low-Density Mixed",13.2,0.4,0.0
"Medium-Density Mixed",12.0,0.2,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",11.2,0.4,0.0
"Farm Animals",0.0,168.9,39.2
"Stream Bank Erosion","3,841.0",2.0,1.0
"Subsurface Flow",0.0,161.3,3.3
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,1.6,0.0
