Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.32,0.21,0.12,0.00,0.49,2.73
Feb,0.40,0.14,0.26,0.00,1.19,2.74
Mar,0.64,0.12,0.52,0.00,3.17,4.03
Apr,0.58,0.01,0.57,0.00,6.68,4.21
May,0.49,0.00,0.48,0.00,7.42,4.01
Jun,0.35,0.00,0.35,0.00,2.61,2.47
Jul,0.27,0.00,0.26,0.00,1.87,1.89
Aug,0.20,0.00,0.19,0.00,1.94,1.94
Sep,0.15,0.01,0.14,0.00,2.32,2.70
Oct,0.13,0.03,0.10,0.00,2.38,2.99
Nov,0.13,0.06,0.07,0.00,1.74,3.12
Dec,0.16,0.10,0.06,0.00,0.64,3.18
Total,3.82,0.68,3.12,0.00,32.45,36.01
