Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"3,230.2",16.0,7.1
Cropland,"2,450.5",7.8,3.8
"Wooded Areas","1,116.7",7.4,1.8
Wetlands,6.8,0.7,0.0
"Open Land","3,638.7",28.8,5.5
"Barren Areas",6.8,1.8,0.1
"Low-Density Mixed",477.9,14.9,1.5
"Medium-Density Mixed","4,026.4",74.6,7.5
"High-Density Mixed",493.2,9.1,0.9
"Low-Density Open Space",410.6,12.8,1.3
"Farm Animals",0.0,507.7,117.6
"Stream Bank Erosion","116,849.0",71.0,41.0
"Subsurface Flow",0.0,"1,814.0",22.1
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,417.3,0.0
