Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.29,0.25,0.03,0.00,0.52,2.73
Feb,0.26,0.16,0.10,0.00,1.26,2.74
Mar,0.39,0.13,0.26,0.00,3.35,4.03
Apr,0.33,0.01,0.32,0.00,6.92,4.21
May,0.27,0.00,0.27,0.00,8.06,4.01
Jun,0.19,0.00,0.19,0.00,2.66,2.47
Jul,0.15,0.00,0.15,0.00,1.87,1.89
Aug,0.11,0.00,0.11,0.00,1.94,1.94
Sep,0.09,0.02,0.08,0.00,2.34,2.70
Oct,0.08,0.02,0.06,0.00,2.44,2.99
Nov,0.10,0.06,0.04,0.00,1.82,3.12
Dec,0.14,0.11,0.03,0.00,0.68,3.18
Total,2.40,0.76,1.64,0.00,33.86,36.01
