Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"1,572.5",10.2,4.2
Cropland,0.0,0.0,0.0
"Wooded Areas",656.1,8.4,1.3
Wetlands,24.9,1.3,0.1
"Open Land","9,311.4",73.3,13.8
"Barren Areas",2.4,0.6,0.0
"Low-Density Mixed",104.9,3.3,0.3
"Medium-Density Mixed",606.2,10.8,1.1
"High-Density Mixed",41.1,0.7,0.1
"Low-Density Open Space",92.2,2.9,0.3
"Farm Animals",0.0,430.4,99.7
"Stream Bank Erosion","22,411.0",12.0,8.0
"Subsurface Flow",0.0,123.3,5.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,62.1,0.0
