Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.25,0.23,0.02,0.00,0.49,2.73
Feb,0.17,0.14,0.03,0.00,1.18,2.74
Mar,0.25,0.11,0.14,0.00,3.13,4.03
Apr,0.23,0.01,0.22,0.00,6.71,4.21
May,0.20,0.00,0.20,0.00,9.07,4.01
Jun,0.15,0.00,0.15,0.00,2.99,2.47
Jul,0.11,0.00,0.11,0.00,1.87,1.89
Aug,0.08,0.00,0.08,0.00,1.94,1.94
Sep,0.07,0.01,0.06,0.00,2.33,2.70
Oct,0.06,0.02,0.04,0.00,2.39,2.99
Nov,0.08,0.05,0.03,0.00,1.74,3.12
Dec,0.12,0.10,0.02,0.00,0.64,3.18
Total,1.77,0.67,1.10,0.00,34.48,36.01
