Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,207.3,1.1,0.5
Cropland,0.0,0.0,0.0
"Wooded Areas",268.0,3.8,0.5
Wetlands,3.9,0.4,0.0
"Open Land","1,340.2",8.1,1.9
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",52.3,1.7,0.2
"Medium-Density Mixed",12.6,0.2,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",15.2,0.5,0.0
"Farm Animals",0.0,96.1,22.2
"Stream Bank Erosion",627.0,0.0,0.0
"Subsurface Flow",0.0,19.0,0.5
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,1.6,0.0
