Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.33,0.24,0.09,0.00,0.53,2.73
Feb,0.38,0.16,0.22,0.00,1.28,2.74
Mar,0.59,0.13,0.46,0.00,3.41,4.03
Apr,0.50,0.01,0.49,0.00,6.94,4.21
May,0.40,0.00,0.40,0.00,7.02,4.01
Jun,0.29,0.00,0.29,0.00,2.57,2.47
Jul,0.22,0.00,0.22,0.00,1.87,1.89
Aug,0.16,0.00,0.16,0.00,1.94,1.94
Sep,0.13,0.02,0.11,0.00,2.34,2.70
Oct,0.11,0.03,0.09,0.00,2.45,2.99
Nov,0.12,0.06,0.06,0.00,1.84,3.12
Dec,0.16,0.11,0.05,0.00,0.68,3.18
Total,3.39,0.76,2.64,0.00,32.87,36.01
