Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"1,070.3",6.7,2.7
Cropland,0.0,0.0,0.0
"Wooded Areas",481.9,2.9,0.8
Wetlands,8.8,0.3,0.0
"Open Land","3,563.5",32.7,5.4
"Barren Areas",2.2,0.1,0.0
"Low-Density Mixed",115.9,3.6,0.4
"Medium-Density Mixed",944.9,17.0,1.7
"High-Density Mixed",71.6,1.3,0.1
"Low-Density Open Space",115.2,3.6,0.4
"Farm Animals",0.0,206.0,47.6
"Stream Bank Erosion","21,678.0",14.0,8.0
"Subsurface Flow",0.0,96.9,3.9
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,97.2,0.0
