Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,190.1,0.3,0.3
Cropland,0.0,0.0,0.0
"Wooded Areas",141.5,1.1,0.2
Wetlands,0.4,0.0,0.0
"Open Land","4,039.5",18.7,5.8
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",3.8,0.1,0.0
"Medium-Density Mixed",0.0,0.0,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",9.5,0.3,0.0
"Farm Animals",0.0,86.3,20.0
"Stream Bank Erosion",635.0,0.0,0.0
"Subsurface Flow",0.0,7.7,0.2
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,0.0,0.0
