Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"1,566.9",3.9,2.5
Cropland,0.0,0.0,0.0
"Wooded Areas",115.6,2.1,0.3
Wetlands,0.3,0.1,0.0
"Open Land","11,713.3",32.4,16.3
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",8.5,0.3,0.0
"Medium-Density Mixed",5.7,0.1,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",17.5,0.6,0.1
"Farm Animals",0.0,181.7,42.1
"Stream Bank Erosion","1,631.0",1.0,1.0
"Subsurface Flow",0.0,27.8,0.7
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,0.0,0.0
