Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.16,0.09,0.08,0.00,0.68,2.29
Feb,0.31,0.14,0.17,0.00,1.58,2.70
Mar,0.34,0.04,0.30,0.00,3.88,4.15
Apr,0.31,0.00,0.31,0.00,7.11,4.09
May,0.24,0.00,0.24,0.00,5.03,3.36
Jun,0.17,0.00,0.17,0.00,1.76,1.72
Jul,0.13,0.00,0.13,0.00,2.45,2.45
Aug,0.10,0.00,0.09,0.00,2.94,2.96
Sep,0.08,0.02,0.07,0.00,2.48,2.86
Oct,0.05,0.00,0.05,0.00,2.78,3.04
Nov,0.07,0.03,0.04,0.00,1.85,2.91
Dec,0.08,0.06,0.03,0.00,0.87,2.67
Total,2.04,0.38,1.68,0.00,33.41,35.20
