Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"2,581.6",6.4,4.2
Cropland,0.0,0.0,0.0
"Wooded Areas",324.3,7.8,0.8
Wetlands,0.3,0.1,0.0
"Open Land","9,885.2",33.2,13.8
"Barren Areas",0.5,0.1,0.0
"Low-Density Mixed",0.5,0.0,0.0
"Medium-Density Mixed",0.0,0.0,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",16.7,0.5,0.1
"Farm Animals",0.0,338.1,78.6
"Stream Bank Erosion","7,181.0",3.0,2.0
"Subsurface Flow",0.0,272.6,5.6
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,0.0,0.0
