Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.26,0.22,0.04,0.00,0.50,2.73
Feb,0.25,0.14,0.11,0.00,1.21,2.74
Mar,0.41,0.11,0.30,0.00,3.20,4.03
Apr,0.38,0.01,0.37,0.00,6.82,4.21
May,0.31,0.00,0.31,0.00,8.31,4.01
Jun,0.22,0.00,0.22,0.00,2.70,2.47
Jul,0.17,0.00,0.17,0.00,1.87,1.89
Aug,0.13,0.00,0.12,0.00,1.94,1.94
Sep,0.10,0.02,0.09,0.00,2.34,2.70
Oct,0.09,0.02,0.07,0.00,2.41,2.99
Nov,0.10,0.05,0.05,0.00,1.78,3.12
Dec,0.13,0.09,0.04,0.00,0.65,3.18
Total,2.55,0.66,1.89,0.00,33.73,36.01
