Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,0.0,0.0,0.0
Cropland,0.0,0.0,0.0
"Wooded Areas",619.9,5.3,1.1
Wetlands,0.1,0.0,0.0
"Open Land","5,923.4",35.6,8.7
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",27.6,0.9,0.1
"Medium-Density Mixed",57.1,1.0,0.1
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",6.5,0.2,0.0
"Farm Animals",0.0,215.2,49.9
"Stream Bank Erosion","3,038.0",1.0,1.0
"Subsurface Flow",0.0,73.1,1.9
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,6.4,0.0
