Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.51,0.51,0.00,0.00,0.82,2.73
Feb,0.33,0.33,0.00,0.00,1.99,2.74
Mar,0.27,0.27,0.00,0.00,5.08,4.03
Apr,0.03,0.03,0.00,0.00,7.10,4.21
May,0.01,0.01,0.00,0.00,5.12,4.01
Jun,0.00,0.00,0.00,0.00,2.52,2.47
Jul,0.01,0.01,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.93,1.94
Sep,0.05,0.05,0.00,0.00,2.38,2.70
Oct,0.05,0.05,0.00,0.00,2.65,2.99
Nov,0.13,0.13,0.00,0.00,2.20,3.12
Dec,0.25,0.25,0.00,0.00,0.96,3.18
Total,1.65,1.65,0.00,0.00,34.62,36.01
