Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,1.69,1.26,0.43,0.00,0.60,2.73
Feb,1.59,1.07,0.52,0.00,1.44,2.74
Mar,1.53,0.89,0.64,0.00,3.59,4.03
Apr,0.65,0.07,0.58,0.00,4.11,4.21
May,0.59,0.05,0.54,0.00,4.14,4.01
Jun,0.40,0.00,0.40,0.00,2.56,2.47
Jul,0.31,0.00,0.31,0.00,1.83,1.89
Aug,0.26,0.03,0.23,0.00,1.87,1.94
Sep,0.26,0.06,0.20,0.00,2.20,2.70
Oct,0.48,0.28,0.20,0.00,2.28,2.99
Nov,0.65,0.48,0.17,0.00,1.81,3.12
Dec,1.02,0.78,0.24,0.00,0.72,3.18
Total,9.43,4.97,4.46,0.00,27.15,36.01
