Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,28.3,0.1,0.1
Cropland,0.0,0.0,0.0
"Wooded Areas",0.1,0.0,0.0
Wetlands,2.1,0.7,0.0
"Open Land",0.0,0.0,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",18.9,0.6,0.1
"Medium-Density Mixed",463.3,13.9,1.4
"High-Density Mixed","1,056.0",31.7,3.3
"Low-Density Open Space",20.7,0.6,0.1
"Farm Animals",0.0,14.9,3.6
"Stream Bank Erosion",38.0,0.0,0.0
"Subsurface Flow",0.0,14.2,0.4
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,62.1,0.0
