Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.69,0.69,0.00,0.00,0.75,2.73
Feb,0.48,0.48,0.00,0.00,1.82,2.74
Mar,0.40,0.40,0.00,0.00,4.72,4.03
Apr,0.06,0.06,0.00,0.00,6.84,4.21
May,0.03,0.03,0.00,0.00,5.44,4.01
Jun,0.01,0.01,0.00,0.00,2.52,2.47
Jul,0.02,0.02,0.00,0.00,1.85,1.89
Aug,0.02,0.02,0.00,0.00,1.92,1.94
Sep,0.08,0.08,0.00,0.00,2.35,2.70
Oct,0.10,0.10,0.00,0.00,2.57,2.99
Nov,0.20,0.20,0.00,0.00,2.14,3.12
Dec,0.36,0.36,0.00,0.00,0.89,3.18
Total,2.45,2.45,0.00,0.00,33.81,36.01
