Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,74.0,0.5,0.2
Cropland,0.0,0.0,0.0
"Wooded Areas",0.0,0.0,0.0
Wetlands,3.6,1.2,0.1
"Open Land",0.0,0.0,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",8.1,0.3,0.0
"Medium-Density Mixed",42.7,0.7,0.1
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",2.3,0.1,0.0
"Farm Animals",0.0,1.5,0.5
"Stream Bank Erosion",1.0,0.0,0.0
"Subsurface Flow",0.0,0.0,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,3.2,0.0
