Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.41,0.40,0.01,0.00,0.54,2.73
Feb,0.26,0.26,0.00,0.00,1.32,2.74
Mar,0.24,0.21,0.03,0.00,3.50,4.03
Apr,0.10,0.02,0.08,0.00,6.88,4.21
May,0.08,0.01,0.07,0.00,8.46,4.01
Jun,0.05,0.00,0.05,0.00,2.82,2.47
Jul,0.05,0.01,0.04,0.00,1.87,1.89
Aug,0.03,0.01,0.03,0.00,1.94,1.94
Sep,0.05,0.03,0.02,0.00,2.33,2.70
Oct,0.06,0.04,0.02,0.00,2.44,2.99
Nov,0.11,0.10,0.01,0.00,1.85,3.12
Dec,0.20,0.19,0.01,0.00,0.69,3.18
Total,1.64,1.28,0.37,0.00,34.64,36.01
