Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,257.8,1.6,0.7
Cropland,0.0,0.0,0.0
"Wooded Areas",47.6,0.7,0.1
Wetlands,24.8,0.7,0.1
"Open Land",452.9,2.8,0.7
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",13.2,0.4,0.0
"Medium-Density Mixed",0.0,0.0,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",3.0,0.1,0.0
"Farm Animals",0.0,14.9,3.6
"Stream Bank Erosion",1.0,0.0,0.0
"Subsurface Flow",0.0,1.2,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,0.0,0.0
