Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.43,0.43,0.00,0.00,0.74,2.73
Feb,0.28,0.28,0.00,0.00,1.80,2.74
Mar,0.23,0.23,0.00,0.00,4.72,4.03
Apr,0.02,0.02,0.00,0.00,7.37,4.21
May,0.01,0.01,0.00,0.00,5.88,4.01
Jun,0.00,0.00,0.00,0.00,2.53,2.47
Jul,0.01,0.01,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.04,0.04,0.00,0.00,2.38,2.70
Oct,0.04,0.04,0.00,0.00,2.62,2.99
Nov,0.11,0.11,0.00,0.00,2.17,3.12
Dec,0.21,0.21,0.00,0.00,0.89,3.18
Total,1.39,1.39,0.00,0.00,34.91,36.01
