Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.67,0.67,0.00,0.00,0.55,2.73
Feb,0.54,0.54,0.00,0.00,1.34,2.74
Mar,0.44,0.44,0.00,0.00,3.57,4.03
Apr,0.04,0.03,0.01,0.00,6.53,4.21
May,0.04,0.02,0.01,0.00,7.88,4.01
Jun,0.01,0.00,0.01,0.00,2.95,2.47
Jul,0.01,0.00,0.01,0.00,1.87,1.89
Aug,0.02,0.01,0.01,0.00,1.93,1.94
Sep,0.04,0.03,0.00,0.00,2.31,2.70
Oct,0.13,0.13,0.00,0.00,2.40,2.99
Nov,0.23,0.23,0.00,0.00,1.82,3.12
Dec,0.39,0.39,0.00,0.00,0.69,3.18
Total,2.56,2.49,0.05,0.00,33.84,36.01
