Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"1,802.3",12.7,3.6
Cropland,"16,524.4",109.7,27.2
"Wooded Areas",0.5,0.0,0.0
Wetlands,10.4,1.6,0.1
"Open Land",84.2,1.3,0.1
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",568.0,17.7,1.8
"Medium-Density Mixed","5,216.8",108.7,11.1
"High-Density Mixed","1,780.3",37.1,3.8
"Low-Density Open Space",516.2,16.0,1.6
"Farm Animals",0.0,147.1,34.2
"Stream Bank Erosion","26,106.0",33.0,9.0
"Subsurface Flow",0.0,8.9,0.1
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,573.4,0.0
