Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"15,386.4",52.4,27.3
Cropland,"28,717.2",102.3,45.4
"Wooded Areas",2.0,0.0,0.0
Wetlands,17.8,1.2,0.1
"Open Land",49.4,0.5,0.1
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",373.5,12.2,1.2
"Medium-Density Mixed","4,374.0",85.9,8.7
"High-Density Mixed",960.1,18.8,1.9
"Low-Density Open Space",172.3,5.6,0.6
"Farm Animals",0.0,262.6,61.0
"Stream Bank Erosion","13,258.0",8.0,5.0
"Subsurface Flow",0.0,14.4,0.2
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,543.1,0.0
