Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.54,0.54,0.00,0.00,0.55,2.73
Feb,0.40,0.40,0.00,0.00,1.35,2.74
Mar,0.33,0.33,0.00,0.00,3.57,4.03
Apr,0.03,0.03,0.00,0.00,6.64,4.21
May,0.02,0.02,0.00,0.00,8.18,4.01
Jun,0.00,0.00,0.00,0.00,3.06,2.47
Jul,0.01,0.01,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.93,1.94
Sep,0.04,0.03,0.00,0.00,2.31,2.70
Oct,0.08,0.08,0.00,0.00,2.41,2.99
Nov,0.17,0.16,0.00,0.00,1.83,3.12
Dec,0.29,0.29,0.00,0.00,0.69,3.18
Total,1.92,1.90,0.00,0.00,34.39,36.01
