Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.45,0.45,0.00,0.00,0.65,2.73
Feb,0.32,0.31,0.01,0.00,1.58,2.74
Mar,0.29,0.26,0.03,0.00,4.19,4.03
Apr,0.06,0.02,0.04,0.00,7.20,4.21
May,0.04,0.01,0.03,0.00,6.88,4.01
Jun,0.02,0.00,0.02,0.00,2.54,2.47
Jul,0.02,0.01,0.02,0.00,1.87,1.89
Aug,0.02,0.01,0.01,0.00,1.94,1.94
Sep,0.04,0.03,0.01,0.00,2.37,2.70
Oct,0.06,0.06,0.01,0.00,2.55,2.99
Nov,0.13,0.13,0.00,0.00,2.05,3.12
Dec,0.23,0.22,0.00,0.00,0.80,3.18
Total,1.68,1.51,0.18,0.00,34.62,36.01
