Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"1,193.0",5.8,3.4
Cropland,0.0,0.0,0.0
"Wooded Areas",0.0,0.0,0.0
Wetlands,2.5,0.5,0.0
"Open Land",0.0,0.0,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",7.9,0.2,0.0
"Medium-Density Mixed",37.8,1.2,0.1
"High-Density Mixed",105.3,3.3,0.3
"Low-Density Open Space",10.2,0.3,0.0
"Farm Animals",0.0,13.1,3.0
"Stream Bank Erosion",2.0,0.0,0.0
"Subsurface Flow",0.0,0.4,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,4.8,0.0
