Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.56,0.56,0.00,0.00,0.58,2.73
Feb,0.44,0.44,0.00,0.00,1.40,2.74
Mar,0.36,0.36,0.00,0.00,3.71,4.03
Apr,0.02,0.02,0.00,0.00,6.81,4.21
May,0.02,0.02,0.00,0.00,7.78,4.01
Jun,0.00,0.00,0.00,0.00,2.81,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.03,0.03,0.00,0.00,2.34,2.70
Oct,0.10,0.10,0.00,0.00,2.46,2.99
Nov,0.19,0.19,0.00,0.00,1.89,3.12
Dec,0.31,0.31,0.00,0.00,0.72,3.18
Total,2.04,2.04,0.00,0.00,34.31,36.01
