Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,"2,529.4",14.1,5.6
Cropland,"8,845.2",42.2,14.7
"Wooded Areas",1.3,0.0,0.0
Wetlands,0.6,0.2,0.0
"Open Land",35.9,0.4,0.1
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",322.9,10.3,1.1
"Medium-Density Mixed","2,989.7",57.1,5.8
"High-Density Mixed",516.2,9.9,1.0
"Low-Density Open Space",136.4,4.3,0.4
"Farm Animals",0.0,81.4,18.7
"Stream Bank Erosion","8,283.0",6.0,3.0
"Subsurface Flow",0.0,0.0,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,312.2,0.0
