Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.19,0.19,0.00,0.00,1.04,2.29
Feb,0.26,0.26,0.00,0.00,2.36,2.70
Mar,0.11,0.11,0.00,0.00,5.35,4.15
Apr,0.01,0.01,0.00,0.00,6.26,4.09
May,0.01,0.01,0.00,0.00,3.80,3.36
Jun,0.00,0.00,0.00,0.00,1.74,1.72
Jul,0.01,0.01,0.00,0.00,2.44,2.45
Aug,0.02,0.02,0.00,0.00,2.93,2.96
Sep,0.05,0.05,0.00,0.00,2.52,2.86
Oct,0.02,0.02,0.00,0.00,2.88,3.04
Nov,0.09,0.09,0.00,0.00,2.10,2.91
Dec,0.13,0.13,0.00,0.00,1.15,2.67
Total,0.90,0.90,0.00,0.00,34.57,35.20
