Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.85,0.85,0.00,0.00,0.53,2.73
Feb,0.71,0.70,0.00,0.00,1.28,2.74
Mar,0.59,0.58,0.02,0.00,3.40,4.03
Apr,0.09,0.04,0.04,0.00,6.26,4.21
May,0.08,0.03,0.05,0.00,7.74,4.01
Jun,0.03,0.00,0.03,0.00,2.96,2.47
Jul,0.03,0.00,0.03,0.00,1.87,1.89
Aug,0.03,0.02,0.02,0.00,1.92,1.94
Sep,0.05,0.04,0.01,0.00,2.29,2.70
Oct,0.19,0.18,0.01,0.00,2.35,2.99
Nov,0.32,0.31,0.01,0.00,1.75,3.12
Dec,0.52,0.51,0.01,0.00,0.66,3.18
Total,3.49,3.26,0.23,0.00,33.01,36.01
