Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,175.2,6.8,2.1
Cropland,0.0,4.1,0.6
"Wooded Areas",25.6,0.6,0.1
Wetlands,2.1,1.6,0.1
"Open Land",17.6,0.7,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed","1,407.4",45.1,4.6
"Medium-Density Mixed","14,660.5",347.9,35.7
"High-Density Mixed","10,341.6",245.4,25.2
"Low-Density Open Space",460.9,14.8,1.5
"Farm Animals",0.0,320.7,74.4
"Stream Bank Erosion","537,803.0",386.0,179.0
"Subsurface Flow",0.0,"5,365.9",70.0
"Point Sources",0.0,"5,435.0",383.0
"Septic Systems",0.0,"1,724.8",0.0
