Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,192.1,0.2,0.4
Cropland,0.0,0.0,0.0
"Wooded Areas",1.6,0.0,0.0
Wetlands,0.7,0.2,0.0
"Open Land",1.5,0.1,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",0.0,0.0,0.0
"Medium-Density Mixed",0.0,0.0,0.0
"High-Density Mixed",0.0,0.0,0.0
"Low-Density Open Space",0.0,0.0,0.0
"Farm Animals",0.0,5.3,1.2
"Stream Bank Erosion",0.0,0.0,0.0
"Subsurface Flow",0.0,0.0,0.0
"Point Sources",0.0,0.0,0.0
"Septic Systems",0.0,0.0,0.0
