Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.08,0.08,0.00,0.00,0.63,2.29
Feb,0.14,0.13,0.00,0.00,1.46,2.70
Mar,0.05,0.04,0.01,0.00,3.57,4.15
Apr,0.03,0.00,0.03,0.00,7.02,4.09
May,0.03,0.00,0.02,0.00,7.23,3.36
Jun,0.02,0.00,0.02,0.00,1.85,1.72
Jul,0.01,0.00,0.01,0.00,2.45,2.45
Aug,0.01,0.00,0.01,0.00,2.94,2.96
Sep,0.02,0.01,0.01,0.00,2.46,2.86
Oct,0.01,0.00,0.01,0.00,2.73,3.04
Nov,0.04,0.03,0.00,0.00,1.79,2.91
Dec,0.05,0.05,0.00,0.00,0.84,2.67
Total,0.49,0.34,0.12,0.00,34.97,35.20
