Month,Stream Flow (cm),Surface Runoff (cm),Subsurface Flow (cm),Point Src Flow (cm),ET (cm),Precip (cm),WS_Name
Jan,0.39,0.39,0,0,0.58,2.73,American_Fork_1
Feb,0.27,0.27,0,0,1.4,2.74,American_Fork_1
Mar,0.22,0.22,0,0,3.71,4.03,American_Fork_1
Apr,0.02,0.02,0,0,7.16,4.21,American_Fork_1
May,0.01,0.01,0,0,8.13,4.01,American_Fork_1
Jun,0,0,0,0,2.7,2.47,American_Fork_1
Jul,0,0,0,0,1.87,1.89,American_Fork_1
Aug,0.01,0.01,0,0,1.94,1.94,American_Fork_1
Sep,0.02,0.02,0,0,2.37,2.7,American_Fork_1
Oct,0.05,0.05,0,0,2.5,2.99,American_Fork_1
Nov,0.11,0.11,0,0,1.91,3.12,American_Fork_1
Dec,0.19,0.19,0,0,0.73,3.18,American_Fork_1
Total,1.29,1.29,0,0,35,36.01,American_Fork_1
Jan,0.42,0.42,0,0,0.51,2.73,American_Fork_2
Feb,0.29,0.29,0,0,1.24,2.74,American_Fork_2
Mar,0.24,0.24,0,0,3.29,4.03,American_Fork_2
Apr,0.01,0.01,0,0,6.83,4.21,American_Fork_2
May,0.01,0.01,0,0,8.88,4.01,American_Fork_2
Jun,0,0,0,0,3.12,2.47,American_Fork_2
Jul,0,0,0,0,1.87,1.89,American_Fork_2
Aug,0.01,0.01,0,0,1.94,1.94,American_Fork_2
Sep,0.02,0.02,0,0,2.34,2.7,American_Fork_2
Oct,0.05,0.05,0,0,2.42,2.99,American_Fork_2
Nov,0.11,0.11,0,0,1.8,3.12,American_Fork_2
Dec,0.21,0.21,0,0,0.67,3.18,American_Fork_2
Total,1.37,1.37,0,0,34.91,36.01,American_Fork_2
Jan,0.44,0.44,0,0,0.5,2.73,Big_Dry_Creek
Feb,0.32,0.31,0,0,1.22,2.74,Big_Dry_Creek
Mar,0.27,0.26,0,0,3.24,4.03,Big_Dry_Creek
Apr,0.03,0.02,0.02,0,6.64,4.21,Big_Dry_Creek
May,0.03,0.01,0.02,0,8.96,4.01,Big_Dry_Creek
Jun,0.02,0,0.02,0,3.22,2.47,Big_Dry_Creek
Jul,0.02,0,0.01,0,1.87,1.89,Big_Dry_Creek
Aug,0.02,0.01,0.01,0,1.94,1.94,Big_Dry_Creek
Sep,0.03,0.03,0.01,0,2.32,2.7,Big_Dry_Creek
