Sources,Sediment,Total Nitrogen,Total Phosphorus,WS_Name
Total Loads (kg),"20,096.30",302,50,American_Fork_1
Loading Rates (kg/ha),54.07,0.81,0.13,American_Fork_1
Mean Annual Concentration (mg/L),419.6,6.31,1.04,American_Fork_1
Mean Low-Flow Concentration (mg/L),763.91,195.96,22.85,American_Fork_1
Total Loads (kg),"7,173.10",109,15.4,American_Fork_2
Loading Rates (kg/ha),76.47,1.16,0.16,American_Fork_2
Mean Annual Concentration (mg/L),559.04,8.5,1.2,American_Fork_2
Mean Low-Flow Concentration (mg/L),656.03,535.01,53.91,American_Fork_2
Total Loads (kg),"23,939.50",403.2,55,Big_Dry_Creek
Loading Rates (kg/ha),68.18,1.15,0.16,Big_Dry_Creek
Mean Annual Concentration (mg/L),427.15,7.2,0.98,Big_Dry_Creek
Mean Low-Flow Concentration (mg/L),"1,038.34",33.88,3.65,Big_Dry_Creek
Total Loads (kg),"229,085.80","4,524.80",875.8,Goshen_Valley
Loading Rates (kg/ha),16.31,0.32,0.06,Goshen_Valley
Mean Annual Concentration (mg/L),229.54,4.53,0.88,Goshen_Valley
Mean Low-Flow Concentration (mg/L),597.27,10.94,2.6,Goshen_Valley
Total Loads (kg),"9,666.20",338.4,62.7,Lake_Mountain____Gravel_Pit
Loading Rates (kg/ha),8.49,0.3,0.06,Lake_Mountain____Gravel_Pit
Mean Annual Concentration (mg/L),33.29,1.17,0.22,Lake_Mountain____Gravel_Pit
Mean Low-Flow Concentration (mg/L),82.7,2.32,0.54,Lake_Mountain____Gravel_Pit
Total Loads (kg),"22,657.80",394.4,90.6,Lake_Mountain___Chaparral_Canyon
Loading Rates (kg/ha),16.34,0.28,0.07,Lake_Mountain___Chaparral_Canyon
Mean Annual Concentration (mg/L),92.01,1.6,0.37,Lake_Mountain___Chaparral_Canyon
Mean Low-Flow Concentration (mg/L),266.85,4.05,1.12,Lake_Mountain___Chaparral_Canyon
Total Loads (kg),"12,638.50",367.1,56.7,Lake_Mountain___Clyde_Knoll
Loading Rates (kg/ha),13.79,0.4,0.06,Lake_Mountain___Clyde_Knoll
Mean Annual Concentration (mg/L),59.06,1.72,0.27,Lake_Mountain___Clyde_Knoll
Mean Low-Flow Concentration (mg/L),145.53,3.68,0.79,Lake_Mountain___Clyde_Knoll
Total Loads (kg),"132,296.00","2,971.00",209,Lake_Mountain___Israel_Canyon
Loading Rates (kg/ha),52.12,1.17,0.08,Lake_Mountain___Israel_Canyon
Mean Annual Concentration (mg/L),136.68,3.07,0.22,Lake_Mountain___Israel_Canyon
Mean Low-Flow Concentration (mg/L),210.17,4.75,0.54,Lake_Mountain___Israel_Canyon
Total Loads (kg),"34,730.40",736.5,133.6,Lake_Mountain___Limekiln_Canyon
Loading Rates (kg/ha),15.89,0.34,0.06,Lake_Mountain___Limekiln_Canyon
Mean Annual Concentration (mg/L),65.76,1.39,0.25,Lake_Mountain___Limekiln_Canyon
Mean Low-Flow Concentration (mg/L),127.49,2.87,0.62,Lake_Mountain___Limekiln_Canyon
Total Loads (kg),"2,511.40",131.9,25.9,Lake_Mountain___Little_Cover
Loading Rates (kg/ha),5,0.26,0.05,Lake_Mountain___Little_Cover
Mean Annual Concentration (mg/L),28.1,1.48,0.29,Lake_Mountain___Little_Cover
Mean Low-Flow Concentration (mg/L),68.33,3.19,0.72,Lake_Mountain___Little_Cover
Total Loads (kg),"27,937.10",478.7,70.6,Lake_Mountain___Losee_Canyon
Loading Rates (kg/ha),26.63,0.46,0.07,Lake_Mountain___Losee_Canyon
Mean Annual Concentration (mg/L),78.37,1.34,0.2,Lake_Mountain___Losee_Canyon
Mean Low-Flow Concentration (mg/L),136.54,2.86,0.52,Lake_Mountain___Losee_Canyon
Total Loads (kg),"5,010.30",114.3,26.5,Lake_Mountain___Miners_Canyon
Loading Rates (kg/ha),10.65,0.24,0.06,Lake_Mountain___Miners_Canyon
