Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.11,0.06,0.05,0.00,0.67,2.29
Feb,0.23,0.10,0.13,0.00,1.54,2.70
Mar,0.26,0.03,0.24,0.00,3.79,4.15
Apr,0.26,0.00,0.26,0.00,7.19,4.09
May,0.21,0.00,0.20,0.00,5.53,3.36
Jun,0.15,0.00,0.15,0.00,1.76,1.72
Jul,0.11,0.00,0.11,0.00,2.45,2.45
Aug,0.08,0.00,0.08,0.00,2.94,2.96
Sep,0.07,0.01,0.06,0.00,2.48,2.86
Oct,0.05,0.00,0.04,0.00,2.77,3.04
Nov,0.05,0.02,0.03,0.00,1.84,2.91
Dec,0.06,0.04,0.02,0.00,0.86,2.67
Total,1.64,0.26,1.37,0.00,33.82,35.20
